Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date,,
DoH_PD,33 Charlotte Street,Pilot Project Queensland Green & Healthy Hospitals,23/06/2021,"11,000.00",Climate and Health Alliance,PO Box 343 CLIFTON HILL VIC  3148,No,No,,,,,,,,,PD111867,General Goods and Services,,,23/06/2021,75260386455,30/06/2021,,
DoH_PD,33 Charlotte Street,Photocopier Charges,25/06/2021,"22,507.34",Ricoh Australia Pty Ltd,Locked Bag 2044 / NORTH RYDE NSW 1670,No,No,,,,,,,,,,General Goods and Services,,,25/06/2021,30000593171,30/05/2022,,
DoH_PD,33 Charlotte Street,Legal fees,29/06/2021,"77,020.01",Minter Ellison,WATERFRONT PLACE L 22 1 EAGLE STREET BRISBANE  QLD  4000,No,No,,,,,,,,,,General Goods and Services,QGP0059-19,,29/06/2021,91556716819,21/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,14/02/2022,"43,120.88",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,,PD106403-15,General Goods and Services,GGS0060,,14/02/2022,28080275378,30/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,21/02/2022,"40,964.84",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,,PD106403-16,General Goods and Services,GGS0060,,21/02/2022,28080275378,30/06/2022,,
DoH_PD,33 Charlotte Street,Health Star Rating - QLD Contribution 2021-2023,25/02/2022,"177,183.51",Department Of Health,GPO Box 9848  CANBERRA  ACT  2601,No,No,,,,,,,,,,General Goods and Services,,,25/02/2022,83605426759,10/03/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,28/03/2022,"30,184.62",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,,PD106403-17,General Goods and Services,GGS0060,,28/03/2022,28080275378,30/06/2022,,
DoH_PD,33 Charlotte Street,Legal fees,31/03/2022,"16,387.53",Mccullough Robertson Lawyers,GPO BOX 1855 BRISBANE QLD 4001,No,No,,,,,,,,,,General Goods and Services,QGP0059-19,,31/03/2022,42721345951,19/05/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,4/04/2022,"31,870.41",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,,PD106403-18,General Goods and Services,GGS0060,,4/04/2022,28080275378,30/06/2022,,
DoH_PD,33 Charlotte Street,Climate Risk Assessment Guidance Training ,11/04/2022,"94,175.40",Griffith University,NATHAN CAMPUS 170 KESSELS RD NATHAN 4111,No,No,,,,,,,,,PD116183,General Goods and Services,,,11/04/2022,78106094461,10/04/2023,,
DoH_PD,33 Charlotte Street,Temporary Contractor,19/04/2022,"30,927.82",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,,PD106403-20,General Goods and Services,GGS0060,,19/04/2022,28080275378,22/07/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,27/04/2022,"22,091.30",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,,PD106403-19,General Goods and Services,GGS0060,,27/04/2022,28080275378,30/06/2022,,
DoH_PD,33 Charlotte Street,Membership fees,25/05/2022,"20,379.70",Water Research Australia Ltd,L2/250 VICTORIA SQ ADELAIDE  SA  5000,No,No,,,,,,,,,,General Goods and Services,,,25/05/2022,32127974261,23/06/2022,,
DoH_PD,33 Charlotte Street,Jurisdictional contribution enHealth,9/06/2022,"12,186.00",Environmental Health Australia,PO Box 2222 FORTITUDE VALLEY BC QLD 4006,No,No,,,,,,,,,,General Goods and Services,,,9/06/2022,58000031998,30/06/2022,,
DoH_PD,33 Charlotte Street,Office Furniture,6/06/2022,"16,490.02",Empire Office Furniture,1928 SANDGATE RD VIRGINIA QLD 4014,No,No,,,,,,,,,4302202523,General Goods and Services,DET SOA 68449 ,,6/06/2022,33268623611,30/06/2022,,
DoH_PD,33 Charlotte Street,Funding for research project,7/06/2022,"11,000.00",Water Research Australia Ltd,L2/250 VICTORIA SQ ADELAIDE  SA  5000,No,Yes,,,,,,,,,,General Goods and Services,,,7/06/2022,32127974261,17/06/2022,,
DoH_PD,33 Charlotte Street,Badges for use by Enforcement Officers,7/06/2022,"11,796.84",Cash'S Awards And Promotion Solutions,17 TOOYAL ST FRANKSTON  VIC  3199,No,No,,,,,,,,,4302205943,General Goods and Services,,,7/06/2022,90167060602,30/06/2022,,
DoH_PD,33 Charlotte Street,Advisory Services,15/06/2022,"20,240.00",Esri Australia Pty Ltd,"L3/111 ELIZABETH ST, BRISBANE   QLD  4000",No,No,,,,,,,,,PD108996,Information and Communication Technology,,,15/06/2022,16008852775,15/03/2022,,
DoH_PD,33 Charlotte Street,QITC Comprehensive Contract for ICT Products and Services Navigate Enhancements,28/09/2021,"267,264.80",CUSTOMER MANAGEMENT TECHNOLOGIES,PO Box 2311 Fortitude Valley Qld 4006,Yes,No,,,,,,,,,PD73437-2,Information and Communication Technology,,,28/09/2021,93084752983,30/06/2022,,
DoH_PD,33 Charlotte Street,BreastScreen Queensland Online Portal,14/11/2021,"146,823.90",Dialog Information Technology,"Level 7 35 Boundary Street, South Brisbane 4101",No,No,,,,,,,,,PD113195,Information and Communication Technology,ICT7698B,,14/11/2021,1601009175,13/11/2022,,
DoH_PD,33 Charlotte Street,Tree planning & planting guidance data,2/03/2022,"33,000.00",University Of Southern Queensland,499-565 WEST ST  TOOWOOMBA   QLD  4350,No,No,,,,,,,,,4302004129,General Goods and Services,,,2/03/2022,40234732081,30/06/2022,,
DoH_PD,33 Charlotte Street,"Design and development of materials, communication plan &  logo",9/03/2022,"28,744.10",The Social Deck Pty Ltd,"32 Sunshine Beach Road, Noosa Heads  Qld 4567",No,No,,,,,,,,,,General Goods and Services,,,9/03/2022,94366395064,31/05/2022,,
