Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value ($)
(incl GST)",Supplier Name,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,Temporary Contractor,4/09/2019,82731.00,RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,Select,,,,,,,PD77110-20,,PTD0007-14 ,4/09/2019,28/06/2020,28080275378
DoH_PD,33 Charlotte Street,Contract to develop and implement a consultation and engagement approach for the National Obesity Strategy,9/09/2019,199650.00,The Trustee for The Social Deck Trust,Office 2 16 Sunshine Beach Rd Noosa QLD 4567 ,No,No,Select,,,,,,,PD103258,,,9/09/2019,30/06/2020,600044728
DoH_PD,33 Charlotte Street,Additional  consultation and engagement for the National Obesity Strategy,9/09/2019,94380.00,The Trustee for The Social Deck Trust,Office 2 16 Sunshine Beach Rd Noosa QLD 4567 ,No,No,Select,,,,,,,,,,9/09/2019,30/06/2020,600044728
DoH_PD,33 Charlotte Street,Dialog Extension for Hosting and Support,14/11/2019,136732.49,Dialog Information Technology,"35 Boundary Street, South Brisbane 4101",Yes,No,Limited,,,,,,,PO4300269726,,,14/11/2019,13/11/2020,10089175
DoH_PD,33 Charlotte Street,Information Exchange between QH and Cwlth to identify women who are eligible for breast screening services in Qld ,14/11/2019,30998.00,Department of Health,GPO Box 9848  Canberra ACT 2601 ,No,Yes,Limited,,,,,,,PD102727,,,14/11/2019,13/11/2020,
DoH_PD,33 Charlotte Street,ICT Contingent Labour,9/12/2019,140442.72,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-68,,PTD0033-15,9/12/2019,26/06/2020,70600569784
DoH_PD,33 Charlotte Street,Temporary Contractor,1/02/2020,110620.98,RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,Select,,,,,,,PD77110-15,,PTD0007-14 ,1/02/2020,26/06/2020,28080275378
DoH_PD,33 Charlotte Street,ICT Contingency Labour,10/02/2020,274890.00,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-69,,PTD0033-15,10/02/2020,24/12/2020,70600569784
DoH_PD,33 Charlotte Street,Temporary Contractor,27/02/2020,38225.00,Hays Pty Ltd ,"Level 45, 111 Eagle Street Brisbane Qld 4000",No,No,Select,,,,,,,,,PTD0007-14 ,27/02/2020,3/07/2020,66329169412
DoH_PD,33 Charlotte Street,ICT Contingency Labour,9/03/2020,231720.81,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,,,PTD0033-15,9/03/2020,24/12/2020,70600569784
