Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
DoH_PD,33 Charlotte Street,Accreditation assessor fees,1/08/2022,"17,040.00",Ian Hawke Consulting,6 KOBADA ST TARINGA   QLD 4068,No,No,,,,,,,,,4301007533,General Goods & Services,,,1/08/2022,76704058894,30/06/2023
DoH_PD,33 Charlotte Street,Accreditation assessor fees,24/08/2022,"11,550.00",MICHAEL JOHN PAHOFF,29 ANDROMEDA PDE ROBINA  QLD 4226,No,No,,,,,,,,,4301007533,General Goods & Services,,,24/08/2022,25802993691,30/12/2023
DoH_PD,33 Charlotte Street,Comprehensive credit rating,26/08/2022,"11,495.00",Corporate Scorecard Pty Ltd,L15/100 Arthur Street NORTH SYDNEY  NSW 2059,No,No,,,,,,,,,,General Goods and Services,,,26/08/2022,33007527611,26/08/2022
DoH_PD,33 Charlotte Street,Online wellbeing education and training program,1/09/2022,"308,000.00",Mater Education Limited,"Level 4, Duncombe Building, Raymond Terrace, South Brisbane Q  4000",No,No,,,,,,,,,PD113151,General Goods and Services,,,1/09/2022,50148130349,31/08/2024
DoH_PD,33 Charlotte Street,Venue Hire - Health Professionals’ Mental Health and Wellbeing Summit,25/10/2022,"19,834.00",Hotel Grand Chancellor,"23 LEICHHARD ST CNR WICKHAM TCE, BRISBANE  QLD  4000",No,No,,,,,,,,,,General Goods and Services,,,25/10/2022,27091467597,25/10/2022
DoH_PD,33 Charlotte Street,Provision of HIV Point Of Care Tests (POCT) and associated accessories 2022/23,28/06/2022,"155,946.11",Abbott Rapid Diagnostics Pty Ltd,"12 Mowbray Tce, East Brisbane QLD 4169",No,No,,,,,,,,,PD104249-4,Medical,,,1/07/2022,19010728220,30/06/2023
DoH_PD,33 Charlotte Street,Notifiable Conditions System (NoCs) Replacement  - System enhancements,1/07/2022,"754,516.29",Sunquest Information Systems P/L,Level 6 Suite 2 410 Ann Street Brisbane Qld 4000 ,Yes,No,Limited,,,,,,,,PD99134,Information and Communication Technology,,,1/07/2022,32620052404,14/05/2025
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2022,"123,992.00",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-21,Information and Communication Technology,GGS0060,,1/07/2022,70600569784,23/12/2022
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2022,"28,454.80",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-3,Information and Communication Technology,GGS0060,,1/07/2022,70600569784,23/12/2022
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2022,"26,429.88",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-26,Information and Communication Technology,GGS0060,,1/07/2022,70600569784,29/08/2022
